session_key,driver_number,compound,stint_length,bias_applied,mae,rmse,total_delta,confidence
9839,1,MEDIUM,22,0.9091363636363625,0.8678181818181817,4.070428076661314,19.09199999999987,61.816
9839,1,HARD,35,0.6243428571428662,0.6065142857142856,3.588186903875389,21.228000000000065,57.54400000000001
9839,4,MEDIUM,15,1.3111333333333126,1.223733333333334,4.739498820198892,18.355999999999995,63.28799999999998
9839,4,HARD,42,0.5085238095238028,0.4964285714285716,3.217224846709618,20.84999999999991,58.29999999999998
9839,5,MEDIUM,14,1.332642857142852,1.2374285714285722,4.630033754890843,17.32400000000007,65.35199999999998
9839,5,HARD,43,0.44867441860464335,0.43823255813953477,2.8736830593476017,18.84400000000005,62.31200000000001
9839,6,MEDIUM,13,1.4882307692307677,1.3737692307692304,4.953195402193182,17.858999999999924,64.28200000000001
9839,6,HARD,43,0.45344186046511736,0.4429069767441861,2.904335271984456,19.045000000000073,61.91
9839,10,MEDIUM,12,1.7425000000000068,1.5973333333333326,5.533324979913371,19.16800000000012,61.664000000000016
9839,10,HARD,27,0.7942592592592653,0.7648518518518522,3.974286803011656,20.65099999999984,58.69799999999998
9839,10,MEDIUM,17,1.3922352941176408,1.3103529411764703,5.402723583309353,22.276000000000067,55.44800000000001
9839,12,HARD,31,0.658580645161281,0.6373548387096772,3.5486415574450176,19.75799999999981,60.48400000000001
9839,12,MEDIUM,26,0.8799615384615348,0.8461153846153849,4.314358856904913,21.998999999999796,56.00199999999998
9839,14,MEDIUM,15,1.321333333333329,1.2332666666666674,4.776421261432736,18.498999999999796,63.00199999999998
9839,14,HARD,42,0.5175714285714245,0.5052380952380953,3.27431708619559,21.2199999999998,57.559999999999995
9839,16,MEDIUM,15,1.2754666666666858,1.2570666666666672,4.868598265072472,18.855999999999995,62.28799999999998
9839,16,HARD,23,0.9185652173913023,0.8786086956521738,4.213659279265366,20.208000000000084,59.584
9839,16,MEDIUM,19,1.1611052631578906,1.1000000000000003,4.7947888378947425,20.90000000000009,58.19999999999999
9839,18,HARD,41,0.4659512195121906,0.45458536585365866,2.9107665740798407,18.63799999999992,62.72399999999999
9839,18,MEDIUM,16,1.3085625000000078,1.22675,4.907,19.628000000000156,60.744
9839,22,HARD,31,0.7953548387096611,0.7696774193548387,4.285382506358848,23.860000000000127,52.28
9839,22,MEDIUM,26,1.0186923076923204,0.9794999999999999,4.994489613564133,25.4670000000001,49.066
9839,23,SOFT,7,2.815571428571421,2.4134285714285704,6.385331807017882,16.894000000000005,66.21200000000002
9839,23,HARD,25,0.7584400000000096,0.7281200000000001,3.6406000000000005,18.202999999999975,63.593999999999994
9839,23,MEDIUM,25,0.8270399999999972,0.7939600000000001,3.9698000000000007,19.84900000000016,60.30199999999999
9839,27,SOFT,6,3.1100000000000136,2.5916666666666686,6.348260916713075,15.550000000000068,68.89999999999998
9839,27,HARD,35,0.5251714285714245,0.5101714285714284,3.0182148744864774,17.855999999999767,64.28800000000001
9839,27,MEDIUM,16,1.3123749999999887,1.2303125000000001,4.921250000000001,19.685000000000173,60.629999999999995
9839,30,MEDIUM,20,1.2805999999999926,1.2165500000000002,5.440576996054739,24.330999999999904,51.337999999999994
9839,30,HARD,36,0.8357222222222163,0.8125,4.875,29.25,41.5
9839,31,MEDIUM,18,1.0873888888888814,1.0270000000000001,4.3571919856715065,18.486000000000104,63.02799999999999
9839,31,HARD,39,0.5692307692307762,0.5546410256410257,3.46373209495784,21.631000000000313,56.738
9839,43,MEDIUM,14,1.4711428571428573,1.3660714285714286,5.111371251575116,19.125,61.75
